image_urls,chip_info
"['http://themogh.org/cg_pix/nv/116953.jpg', 'http://themogh.org/cg_pix/nv/116953a.jpg']",CG116953 Current Denom: $1 Issued: 10/27/2013 Added: 2013-10-28 Last Update: 2020-11-07 Color: Lt Blue Inserts: 6-Blue Mold: Plain Mftr: Icon Inlay: OOR-BLUE Logo: Logo Catalog#: D1241 Contributed by: Ross Poppel Show
"['http://themogh.org/cg_pix/nv/172888.jpg', 'http://themogh.org/cg_pix/nv/172888a.jpg']","CG172888 Current Denom: $1 Issued: 10/27/2013 Added: 2016-11-17 Last Update: 2023-03-16 Color: Lt Blue Inserts: 6-Blue Mold: Plain Inlay: OOR-BLUE Logo: Logo Catalog#: Not in TCR Contributed by: Jeff Moss Printing error - logo is off center. If looking at side with dark blue background and large ""GRAND,"" it's off centered to the right.  It's off center on both sides. Show"
"['http://themogh.org/cg_pix/nv/254875.jpg', 'http://themogh.org/cg_pix/nv/254875a.jpg']",CG254875 Obsolete Denom: $1 Issued: 2020 Added: 2020-11-07 Last Update: 2020-11-14 Color: Lt-Blue Inserts: 6 Bl Mold: Plain Inlay: OOR-BLUE Logo: Logo Catalog#: NotinTCR Contributed by: Gary Fieldsend No manufacturer's logo Show
"['http://themogh.org/cg_pix/nv/264181.jpg', 'http://themogh.org/cg_pix/nv/264181a.jpg']",CG264181 Current Denom: $1 Issued: 2021 Added: 2021-04-13 Color: Lt Blue Inserts: 6 Blue Mold: Plain Mftr: Icon Inlay: OOR-Blue Logo: Logo Catalog#: NotInTCR Contributed by: Paul Biggs Icon trademark symbol (white) is higher. Show
"['http://themogh.org/cg_pix/nv/116954.jpg', 'http://themogh.org/cg_pix/nv/116954a.jpg']",CG116954 Current Denom: $5 Issued: 2013 Added: 2013-10-28 Last Update: 2014-03-14 Color: Red Inserts: 3 sxs Pink Mold: Plain Inlay: OOR-Red Logo: Logo Catalog#: D1242 Contributed by: Ross Poppel Show
"['http://themogh.org/cg_pix/nv/116955.jpg', 'http://themogh.org/cg_pix/nv/116955a.jpg']",CG116955 Current Denom: $25 Issued: 2013 Added: 2013-10-28 Last Update: 2018-06-28 Color: Green Inserts: 6-Orange 6-Yellow Mold: Plain Inlay: OOR-GREEN-WG Logo: Logo Catalog#: D1243 Contributed by: Ross Poppel Show
[],CG124106 Current Denom: $100 Issued: 2013 Added: 2014-03-14 Last Update: 2014-03-14 Mold: Plain Logo: Logo Catalog#: D1244 Show
"['http://themogh.org/cg_pix/nv/311823.jpg', 'http://themogh.org/cg_pix/nv/311823a.jpg']",CG311823 Current Denom: $100 Issued: 2013 Added: 2023-12-26 Color: Black Inserts: 6 White/Red/White Mold: Plain Logo: Logo Catalog#: D1244 Contributed by: Shungo Okubo Show
[],CG124107 Current Denom: $500 Issued: 2013 Added: 2014-03-14 Last Update: 2014-03-14 Mold: Plain Logo: Logo Catalog#: D1245 Show
[],CG124108 Current Denom: $1000 Issued: 2013 Added: 2014-03-14 Last Update: 2014-06-23 Mold: Plain Logo: Logo Catalog#: D1246 Show
[],
