image_urls,chip_info
['http://themogh.org/cg_pix/nv/06933.jpg'],CG006933 Current Denom: $1 Issued: 1999 Last Update: 2016-11-18 Color: Blue Inserts: 2-Pink 2-Red 2-Orange Mold: House Inlay: OR-MULTI-WG Logo: Hotel picture Catalog#: V2958 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/22416.jpg'],CG022416 Current Denom: $1 Issued: 2010 Added: 2010-11-01 Last Update: 2016-11-18 Color: Blue Inserts: 2-Pink 2-Red 2-Orange Mold: House Inlay: R-MULTI Logo: Hotel pic w/H&C Catalog#: E9710 Contributed by: Luke Rapley Show
['http://themogh.org/cg_pix/nv/149891.jpg'],CG149891 Obsolete Denom: $2 Issued: 2015 Added: 2015-09-06 Last Update: 2020-06-18 Color: Metallic Gold Inserts: 2 Gr / 2 Fu Mold: House Inlay: R-MULTI Logo: Hotel pic w/H&C Catalog#: TCR# D2000 Contributed by: Ross Poppel Used in poker room as drop chip Show
['http://themogh.org/cg_pix/nv/57225.jpg'],CG057225 Current Denom: $5 Issued: 1999 Added: 2011-12-09 Last Update: 2016-12-31 Color: Red Inserts: 6 White/Gold Mold: House Inlay: R-Multi Catalog#: V2959 Contributed by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/57226.jpg'],CG057226 Current Denom: $5 Issued: 1999 Added: 2011-12-09 Last Update: 2020-11-04 Color: Red Inserts: 6 White/Gold Mold: House Inlay: R-Multi Catalog#: V2960 Contributed by: Ross Poppel 43mm Oversize Baccarat Show
['http://themogh.org/cg_pix/nv/44809.jpg'],CG044809 Current Denom: $25 Issued: 1999 Added: 2011-09-22 Last Update: 2011-09-22 Color: Green Inserts: 4or/4wh/4pink Mold: House Catalog#: V4814 Contributed by: Bill Lange 43mm Oversize Baccarat Show
['http://themogh.org/cg_pix/nv/90864.jpg'],CG090864 Current Denom: $25 Issued: 1999 Added: 2012-10-07 Last Update: 2012-10-07 Color: Green Inserts: 4or/4wh/4pink Mold: House Catalog#: V2965 Contributed by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/90852.jpg'],CG090852 Obsolete Denom: $100 Issued: 1999 Added: 2012-10-06 Last Update: 2022-04-05 Color: Black Inserts: 4 sxsxs Blue Mold: House Catalog#: V4823 Contributed by: Don Lueders 43mm Oversized Baccarat Show
['http://themogh.org/cg_pix/nv/282697.jpg'],CG282697 Obsolete Denom: $100 Issued: 1999 Added: 2022-04-05 Last Update: 2022-04-05 Color: Black Inserts: 4 sxsxs Blue Mold: House Contributed by: Shungo Okubo Show
['http://themogh.org/cg_pix/nv/219308.jpg'],CG219308 Obsolete Denom: $100 Issued: 1999 Added: 2019-02-10 Color: Black Inserts: 4 Light Orange-V/4 Purple-V Mold: House Inlay: OR-Multi Logo: Palm Tree/Sand Catalog#: E1382.C Contributed by: David Sarles Notched Show
['http://themogh.org/cg_pix/nv/277506.jpg'],CG277506 Current Denom: $500 Added: 2022-01-19 Color: Purple Inserts: 3-Lime 3-Lavender 3-Lt Green Mold: House Inlay: OR-Multi Contributed by: Shungo Okubo Baccarat - Oversized (43 mm) Show
['http://themogh.org/cg_pix/nv/44438.jpg'],CG044438 Current Denom: $500 Issued: 2000s Added: 2011-09-13 Last Update: 2011-09-13 Color: PURPLE Inserts: 3-Lime 3-Lavender 3-Lt Green Mold: House Inlay: OR-Lavende Catalog#: V6496 Contributed by: Mike Christensen Show
['http://themogh.org/cg_pix/nv/58658.jpg'],CG058658 Current Denom: $1000 Added: 2011-12-23 Last Update: 2011-12-23 Color: Yellow Inserts: 4grn/Blk/Grn Mold: House Contributed by: Via Silver State Treasures Show
[],
